㖼	DUO3 LIN2 MOU2	ㄉㄨㄛ3 ㄌㄧㄣ2 ㄇㄡ2
㖽	ZE2 ZEI2	ㄗㄜ2 ㄗㄟ2
㖾	E4	ㄜ4
㖿	XIE2	ㄒㄧㄝ2
㗁	E4	ㄜ4
㗂	SHENG3	ㄕㄥ3
㗃	WEN3 YIN4	ㄨㄣ3 ㄧㄣ4
㗄	MAN2 MAN4	ㄇㄢ2 ㄇㄢ4
㗅	HU2	ㄏㄨ2
㗆	GE2 KAI4	ㄍㄜ2 ㄎㄞ4
㗇	XIA2	ㄒㄧㄚ2
㗈	MAN4	ㄇㄢ4
㗉	BI4 E4 LVE4	ㄅㄧ4 ㄜ4 ㄌㄩㄜ4
㗊	JI2	ㄐㄧ2
㗋	HOU2	ㄏㄡ2
㗌	ZHI4	ㄓ4
㗑	BAI4	ㄅㄞ4
㗒	AI4	ㄞ4
㗕	GOU4	ㄍㄡ4
㗖	DAN4	ㄉㄢ4
㗗	BAI3	ㄅㄞ3
㗘	BO2 FU4	ㄅㄛ2 ㄈㄨ4
㗙	NA4	ㄋㄚ4
㗚	LI4	ㄌㄧ4
㗛	XIAO4	ㄒㄧㄠ4
㗜	XIU4	ㄒㄧㄡ4
㗢	DONG4	ㄉㄨㄥ4
㗣	TI4	ㄊㄧ4
㗤	CU4	ㄘㄨ4
㗥	KUO4	ㄎㄨㄛ4
㗦	LAO2	ㄌㄠ2
㗧	ZHI4	ㄓ4
㗨	AI3	ㄞ3
㗩	XI1	ㄒㄧ1
㗫	QIE4	ㄑㄧㄝ4
㗰	CHU4 CONG2	ㄔㄨ4 ㄘㄨㄥ2
㗱	JI2	ㄐㄧ2
㗲	HUO4 XI4	ㄏㄨㄛ4 ㄒㄧ4
㗳	TA3	ㄊㄚ3
㗴	YAN2	ㄧㄢ2
㗵	XU4	ㄒㄨ4
㗷	SAI3	ㄙㄞ3
㗼	YE4	ㄧㄝ4
㗽	XIANG3	ㄒㄧㄤ3
㗿	XIA4	ㄒㄧㄚ4
㘀	ZUO4	ㄗㄨㄛ4
㘁	YI4	ㄧ4
㘂	CI2	ㄘ2
㘅	XIAN2	ㄒㄧㄢ2
㘆	TAI2	ㄊㄞ2
㘇	RONG2	ㄖㄨㄥ2
㘈	YI1	ㄧ1
㘉	ZHI4	ㄓ4
㘊	YI4	ㄧ4
㘋	XIAN2	ㄒㄧㄢ2
㘌	JU4	ㄐㄨ4
㘍	JI2 QI4	ㄐㄧ2 ㄑㄧ4
㘎	HAN3 HAN4	ㄏㄢ3 ㄏㄢ4
㘐	PAO4 PENG3	ㄆㄠ4 ㄆㄥ3
㘑	LI4	ㄌㄧ4
㘓	LAN2	ㄌㄢ2
㘔	CAN3 SAI3	ㄘㄢ3 ㄙㄞ3
㘕	HAN3 LAN2	ㄏㄢ3 ㄌㄢ2
㘖	YAN2	ㄧㄢ2
㘙	YAN2 YAN3	ㄧㄢ2 ㄧㄢ3
㘚	HAN3	ㄏㄢ3
㘜	CHI3 CHOU2 CHU4	ㄔ3 ㄔㄡ2 ㄔㄨ4
㘝	NIAN3 NIE4	ㄋㄧㄢ3 ㄋㄧㄝ4
㘞	HUO4	ㄏㄨㄛ4
㘠	BI4 MI4	ㄅㄧ4 ㄇㄧ4
㘡	XIA2	ㄒㄧㄚ2
㘢	WENG3	ㄨㄥ3
㘣	XUAN2 YUAN2	ㄒㄨㄢ2 ㄩㄢ2
㘥	YOU2	ㄧㄡ2
㘦	QIN2	ㄑㄧㄣ2
㘧	XU4	ㄒㄨ4
㘨	NEI4	ㄋㄟ4
㘩	BI4	ㄅㄧ4
㘪	HAO4	ㄏㄠ4
㘫	JING3	ㄐㄧㄥ3
㘬	AO4	ㄠ4
㘭	AO4	ㄠ4
㘲	JU2	ㄐㄨ2
㘴	ZUO4	ㄗㄨㄛ4
㘵	BU4	ㄅㄨ4
㘶	JIE2	ㄐㄧㄝ2
㘷	AI4	ㄞ4
㘸	ZANG4	ㄗㄤ4
㘹	CI2	ㄘ2
㘺	FA2	ㄈㄚ2
㘿	NIE4	ㄋㄧㄝ4
㙀	LIU4	ㄌㄧㄡ4
㙁	MANG3 MEI2 MEI4 MU4 NA4	ㄇㄤ3 ㄇㄟ2 ㄇㄟ4 ㄇㄨ4 ㄋㄚ4
㙂	DUI4	ㄉㄨㄟ4
㙄	BI4	ㄅㄧ4
㙅	BAO3	ㄅㄠ3
㙇	CHU4	ㄔㄨ4
㙈	HAN2 XIA4	ㄏㄢ2 ㄒㄧㄚ4
㙉	TIAN3	ㄊㄧㄢ3
㙊	CHANG2 ZHANG4	ㄔㄤ2 ㄓㄤ4
㙏	FU4	ㄈㄨ4
㙐	DUO3	ㄉㄨㄛ3
㙑	YU3	ㄩ3
㙒	YE3	ㄧㄝ3
㙓	KUI2	ㄎㄨㄟ2
㙔	HAN2	ㄏㄢ2
㙕	KUAI4	ㄎㄨㄞ4
㙗	KUAI4	ㄎㄨㄞ4
㙙	LONG3	ㄌㄨㄥ3
㙛	BU3	ㄅㄨ3
㙜	CHI2 TAI2	ㄔ2 ㄊㄞ2
㙝	XIE2	ㄒㄧㄝ2
㙞	NIE4	ㄋㄧㄝ4
㙟	LANG3	ㄌㄤ3
㙠	YI4	ㄧ4
㙢	MAN2 MEN2	ㄇㄢ2 ㄇㄣ2
㙣	ZHANG4	ㄓㄤ4
㙤	XIA4	ㄒㄧㄚ4
㙥	GUN3	ㄍㄨㄣ3
㙨	JI4 QI2	ㄐㄧ4 ㄑㄧ2
㙩	LIAO2	ㄌㄧㄠ2
㙪	YE4 YI4	ㄧㄝ4 ㄧ4
㙫	JI2	ㄐㄧ2
㙬	YIN2	ㄧㄣ2
㙮	DA1 DA5	ㄉㄚ1 ㄉㄚ5
㙯	YI4	ㄧ4
㙰	XIE4	ㄒㄧㄝ4
㙱	HAO4	ㄏㄠ4
㙲	YONG3	ㄩㄥ3
㙳	HAN3 HE2 KAN3	ㄏㄢ3 ㄏㄜ2 ㄎㄢ3
㙴	CHAN4 ZHAN4	ㄔㄢ4 ㄓㄢ4
㙵	TAI2	ㄊㄞ2
㙶	TANG2	ㄊㄤ2
㙷	ZHI2	ㄓ2
㙸	BAO4 BO2 PU2	ㄅㄠ4 ㄅㄛ2 ㄆㄨ2
㙹	MENG2	ㄇㄥ2
㙺	GUI4 KUI2	ㄍㄨㄟ4 ㄎㄨㄟ2
㙻	CHAN2 QIE4 ZAN4	ㄔㄢ2 ㄑㄧㄝ4 ㄗㄢ4
㙼	LEI3	ㄌㄟ3
㙾	XI4 XUE2	ㄒㄧ4 ㄒㄩㄝ2
㚁	QIAO2 QIAO4 QU4	ㄑㄧㄠ2 ㄑㄧㄠ4 ㄑㄨ4
㚂	RANG2	ㄖㄤ2
㚃	YUN2 YUN4	ㄩㄣ2 ㄩㄣ4
㚅	LONG2	ㄌㄨㄥ2
㚆	FU4	ㄈㄨ4
㚉	GU3	ㄍㄨ3
㚌	HUA4 HUO3	ㄏㄨㄚ4 ㄏㄨㄛ3
㚍	GUO2 KUI3 KUI4	ㄍㄨㄛ2 ㄎㄨㄟ3 ㄎㄨㄟ4
㚏	GAO3	ㄍㄠ3
㚐	TAO4	ㄊㄠ4
㚒	SHAN3	ㄕㄢ3
㚓	LAI2 LAI3	ㄌㄞ2 ㄌㄞ3
㚔	NIE4	ㄋㄧㄝ4
㚕	FU2	ㄈㄨ2
㚖	GAO3	ㄍㄠ3
㚗	QIE2 XIE2	ㄑㄧㄝ2 ㄒㄧㄝ2
㚘	BAN4	ㄅㄢ4
㚛	XI4	ㄒㄧ4
㚜	XU4 YU4	ㄒㄨ4 ㄩ4
㚝	KUI2	ㄎㄨㄟ2
㚞	MENG3 SHEN3 YING4 YUN4	ㄇㄥ3 ㄕㄣ3 ㄧㄥ4 ㄩㄣ4
㚟	CHUO4	ㄔㄨㄛ4
㚡	JI3	ㄐㄧ3
㚢	NU2	ㄋㄨ2
㚣	XIAO2	ㄒㄧㄠ2
㚤	YI4	ㄧ4
㚥	YU2	ㄩ2
㚦	YI2	ㄧ2
㚧	YAN3	ㄧㄢ3
㚩	RAN3	ㄖㄢ3
㚪	HAO4	ㄏㄠ4
